ZN,INDUS,CHAS,NOX,CRIM,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
18,2.31,0,0.538,0.00632,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24
0,7.07,0,0.469,0.02731,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,22
0,7.07,0,0.469,0.02729,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,35
0,2.18,0,0.458,0.03237,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33
0,2.18,0,0.458,0.06905,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36
0,2.18,0,0.458,0.02985,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,29
12.5,7.87,0,0.524,0.08829,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,23
12.5,7.87,0,0.524,0.14455,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27
12.5,7.87,0,0.524,0.21124,5.631,100,6.0821,5,311,15.2,386.63,29.93,17
12.5,7.87,0,0.524,0.17004,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,19
12.5,7.87,0,0.524,0.22489,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15
12.5,7.87,0,0.524,0.11747,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,19
12.5,7.87,0,0.524,0.09378,5.889,39,5.4509,5,311,15.2,390.5,15.71,22
0,8.14,0,0.538,0.62976,5.949,61.8,4.7075,4,307,21,396.9,8.26,20
0,8.14,0,0.538,0.63796,6.096,84.5,4.4619,4,307,21,380.02,10.26,18
0,8.14,0,0.538,0.62739,5.834,56.5,4.4986,4,307,21,395.62,8.47,20
0,8.14,0,0.538,1.05393,5.935,29.3,4.4986,4,307,21,386.85,6.58,23
0,8.14,0,0.538,0.7842,5.99,81.7,4.2579,4,307,21,386.75,14.67,18
0,8.14,0,0.538,0.80271,5.456,36.6,3.7965,4,307,21,288.99,11.69,20
0,8.14,0,0.538,0.7258,5.727,69.5,3.7965,4,307,21,390.95,11.28,18
0,8.14,0,0.538,1.25179,5.57,98.1,3.7979,4,307,21,376.57,21.02,14
0,8.14,0,0.538,0.85204,5.965,89.2,4.0123,4,307,21,392.53,13.83,20
0,8.14,0,0.538,1.23247,6.142,91.7,3.9769,4,307,21,396.9,18.72,15
0,8.14,0,0.538,0.98843,5.813,100,4.0952,4,307,21,394.54,19.88,15
